,car_type,price_per_day,mileage,pickupdate,pickuptime,dropoffdate,dropofftime
109,BMW X5,"69,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
110,AUDI A7,"71,31 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
111,MERCEDES-BENZ VITO AUT.,"74,99 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
112,BMW X5M 50D,"84,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
113,MERCEDES-BENZ S-CLASS L,"85,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
114,BMW X3M,"90,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
115,BMW X4M,"90,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
116,MERCEDES-BENZ S500 L,"95,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
117,AUDI S5 SPORTBACK,"114,98 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
118,BMW M240 CABRIO,"114,98 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
119,BMW M550 LIMOUSINE,"124,66 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
120,AUDI S6,"127,98 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
121,AUDI S6 AVANT,"127,98 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
122,BMW M4 COUPÉ,"132,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
123,MERCEDES-BENZ V-KLASSE (8 SITZE),"171,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
124,MERCEDES-AMG CLS53,"176,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
125,BMW M5,"185,00 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
126,MERCEDES-BENZ GLS 350,"191,98 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
127,BMW M850 COUPÉ,"195,66 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
128,MERCEDES-AMG GLE 53,"203,66 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
129,AUDI S8,"204,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
130,BMW X7 M50,"212,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
131,MERCEDES-AMG S63 L,"241,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
132,MERCEDES-BENZ G500,"284,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
133,BMW M850 CABRIO,"331,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
134,BMW M8 CABRIO,"359,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
135,BMW M8 COUPÉ,"367,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
